lon1,lat1,dist1,lon2,lat2,dist2,speed
20.9564233,52.2610033,Żoliborz,20.9568767,52.2608317,Żoliborz,8.163163740562213
20.9787215,52.262048,Żoliborz,20.9787383,52.2620573,Żoliborz,0.4624920452329754
20.9681335,52.271983,Żoliborz,20.9681308,52.2719838,Żoliborz,0.07348189286558922
20.968246,52.2696161,Żoliborz,20.9682495,52.269591,Żoliborz,0.6722725004670574
20.969866,52.272171,Żoliborz,20.969439,52.271848,Żoliborz,8.315297383900976
20.981646,52.274857,Żoliborz,20.981686,52.275299,Żoliborz,17.720441303097253
20.968256,52.271877,Żoliborz,20.968252,52.271873,Żoliborz,0.18771994654163876
20.984566,52.268585,Żoliborz,20.984577,52.268593,Żoliborz,0.3804807541897546
20.986609,52.278366,Żoliborz,20.986584,52.278355,Żoliborz,0.6856184940909497
20.9792571,52.2798002,Żoliborz,20.981379,52.280872,Żoliborz,42.11807587352888
20.9687084,52.2719969,Żoliborz,20.9687064,52.2719936,Żoliborz,0.1408911616627073
20.957026,52.260777,Żoliborz,20.957914,52.260395,Żoliborz,26.593329029152095
20.98786,52.267258,Żoliborz,20.987869,52.267246,Żoliborz,0.528543834149666
20.991558,52.263222,Żoliborz,20.990896,52.26395,Żoliborz,33.35120422667091
20.972616,52.276695,Żoliborz,20.96966,52.275082,Żoliborz,64.67354832932591
20.967608,52.2717027,Żoliborz,20.9676047,52.2717034,Żoliborz,0.0855530845373489
20.9735515,52.2713971,Żoliborz,20.9746448,52.2712571,Żoliborz,27.360894833573774
20.961069,52.259163,Żoliborz,20.962021,52.258766,Żoliborz,21.711695986507195
20.983522,52.272285,Żoliborz,20.984234,52.271366,Żoliborz,37.01137425579622
20.96855,52.272118,Żoliborz,20.968561,52.272114,Żoliborz,0.31343088171714606
20.969105167,52.2718,Żoliborz,20.969718667,52.271755167,Żoliborz,15.134547306617947
21.000298,52.268464,Żoliborz,21.002106,52.26732,Żoliborz,53.090840110371275
20.982552,52.267975,Żoliborz,20.981161,52.267616,Żoliborz,12.327386957235285
20.959455,52.267582,Żoliborz,20.959612,52.267818,Żoliborz,10.200024438577016
20.97658,52.266239,Żoliborz,20.977415,52.266453,Żoliborz,14.78482279319478
20.983271,52.282051,Żoliborz,20.978233,52.279675,Żoliborz,51.92852937139588
20.970009,52.2649066,Żoliborz,20.9716176,52.2644716,Żoliborz,28.72319688321601
20.9941431,52.259438,Żoliborz,20.9941025,52.259465,Żoliborz,0.6676939118871408
20.9871083,52.2692317,Żoliborz,20.9871083,52.2692317,Żoliborz,0.0
